"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"NCAPH"	"NCAPH"	-0.12717036574549	-0.241408052125785	1.3217459096817	-0.0575923875934326	-0.209094359851881	-0.201293130558086	"S01"	1.3217459096817	"IS03"
"TMEM106C"	"TMEM106C"	-0.187241017223213	-0.388726130393837	1.30045095211082	-0.0882511972029979	-0.154151326239341	-0.0761802651836115	"S01"	1.30045095211082	"IS03"
"TMPO"	"TMPO"	0.0784063526953224	-0.301653019759158	1.28368202837672	0.0250357316168824	-0.341116236858429	-0.180023190933967	"S01"	1.28368202837672	"IS03"
"HMGN2"	"HMGN2"	-0.214277145289043	-0.555111291274262	1.28303329114847	0.0309020474762465	-0.0919231119043363	-0.036638253927665	"S01"	1.28303329114847	"IS03"
"TCF19"	"TCF19"	-0.191610909024222	-0.229375464438042	1.26540219397822	-0.204953603905533	-0.0565422808808939	-0.189630827978195	"S01"	1.26540219397822	"IS03"
"PHF19"	"PHF19"	-0.180203283698269	-0.256026570649285	1.24454034749696	-0.093097335891985	-0.155381148061462	-0.149843694161256	"S01"	1.24454034749696	"IS03"
"DUT"	"DUT"	-0.19639745204059	-0.291751710257953	1.22714006530346	-0.137674299187682	-0.128594063693638	-0.103700888368738	"S01"	1.22714006530346	"IS03"
"BRCA1"	"BRCA1"	-0.0960439915098456	-0.223329459657641	1.21027537421015	-0.13836838864273	-0.150656809114651	-0.178125450004819	"S01"	1.21027537421015	"IS03"
"GINS2"	"GINS2"	-0.113139887654785	-0.31557880643045	1.19158965723439	-0.20365703981205	-0.088318299665868	-0.103731213772333	"S01"	1.19158965723439	"IS03"
"MCM10"	"MCM10"	-0.158805079967382	-0.206939528803834	1.17566136699732	-0.17951865535275	-0.0835364605304548	-0.172697687271409	"S01"	1.17566136699732	"IS03"
"KIF20A"	"KIF20A"	-0.133848177973906	-0.138198049661244	1.16643301988695	-0.138827632005878	-0.167330048627412	-0.191314804545675	"S01"	1.16643301988695	"IS03"
"TRAIP"	"TRAIP"	-0.106311422405915	-0.140498440963704	1.16175001608363	-0.156323082095788	-0.15856242109853	-0.19777777910692	"S01"	1.16175001608363	"IS03"
"ARHGEF39"	"ARHGEF39"	-0.0961665230000658	-0.167823575404088	1.13143812418447	-0.156716604340871	-0.169856518046885	-0.159007895241163	"S01"	1.13143812418447	"IS03"
"EZH2"	"EZH2"	-0.00448534992327319	-0.255539874064037	1.1198368490132	-0.0412808246418127	-0.055056800281387	-0.274445525797139	"S01"	1.1198368490132	"IS03"
"CKS2"	"CKS2"	0.0534890186575104	-0.296055942376724	1.1009257650412	-0.0675271545692177	-0.07068134186586	-0.237161486994723	"S01"	1.1009257650412	"IS03"
"HMGB1"	"HMGB1"	0.0417555711597925	-0.474235069843531	1.07604319981541	0.050784361474533	-0.36133564375707	0.0678455709959187	"S01"	1.07604319981541	"IS03"
"ANP32B"	"ANP32B"	-0.113682576584917	-0.2064394291288	1.0695020080679	-0.0526843800530305	-0.495669656061816	0.0940838897927819	"S01"	1.0695020080679	"IS03"
"PTMA"	"PTMA"	0.116031263759332	0.117006929907691	1.0632360729003	-0.0463119825534264	-0.185776510718641	-0.487122234720497	"S01"	1.0632360729003	"IS03"
