"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"CCL21__pos"	2.22044604925031e-16	2.22044604925031e-16	219.203684285577	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RND1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	246.796903741341
"FLT1__pos"	21.9087148265803	196.87473070685	2.22044604925031e-16	9.58146964397313	2.22044604925031e-16	28.5073232633622
"ADIRF__pos"	128.735209451562	2.22044604925031e-16	43.0161342349028	2.22044604925031e-16	28.7160953970292	79.9823262691172
"COL6A2__pos"	32.3463327855623	62.3054509507709	23.7490432947793	149.788094483518	0.00108634687187214	2.22044604925031e-16
"MT-CO1__pos"	59.1347525781011	55.4161238856061	14.6950419093343	13.1862753540133	59.680158959342	2.22044604925031e-16
"TFF3__pos"	2.22044604925031e-16	2.22044604925031e-16	228.443074727404	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"C2CD4B__pos"	2.22044604925031e-16	2.22044604925031e-16	14.3758042568554	4.36448662182542	2.22044604925031e-16	224.806703754558
"PODXL__pos"	40.9226928124948	174.09728214362	22.6624034173241	8.06387816440524	11.6473836629014	2.22044604925031e-16
"DUSP23__pos"	142.618190146204	2.22044604925031e-16	0.52048342956885	41.7133432024279	22.73398875328	51.1842434781966
"ZYX__pos"	32.9462390941515	43.6548353228485	9.17736751714388	132.688468821093	26.2217474670094	19.9989689525044
"MT-CO3__pos"	50.3843597152389	42.5490816554089	10.4573506020434	32.6849646429487	54.1893348832204	2.22044604925031e-16
"EFEMP1__pos"	15.9754231712068	2.22044604925031e-16	205.319707367761	2.22044604925031e-16	0.00154059254275823	8.32713690436973
"ICAM4__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	194.350215813346
"INSR__pos"	27.7685674740457	185.315780339949	0.558408436561048	39.7079351202668	1.07599620971645e-09	3.43035599812824
"VCAN__pos"	193.422033939823	19.1363342897604	2.22044604925031e-16	9.55424362574742	11.778298674925	0.0643041756032565
"SERPINE1__pos"	12.7325443815275	22.3781984731886	7.16447320681322	157.631658993478	6.41544851517358	64.8319513127334
"MT-ND1__pos"	65.0126677045598	44.9060079242269	5.23096791080646	29.6408648075823	47.277609295134	2.22044604925031e-16
"PROX1__pos"	2.22044604925031e-16	2.22044604925031e-16	193.593967489381	2.22044604925031e-16	2.22044604925031e-16	13.308298937736
"IER3__pos"	8.12883128190346	2.22044604925031e-16	30.3317830958351	26.7449963205135	12.3306645337452	216.027931395152
"IGFBP3__pos"	2.22044604925031e-16	172.542408689997	2.22044604925031e-16	58.2908456241109	2.22044604925031e-16	2.22044604925031e-16
"ASS1__pos"	173.426845412193	2.22044604925031e-16	4.10509900891213	2.22044604925031e-16	26.4516613267296	36.7354978764036
"COL15A1__pos"	41.9308556262886	74.8830990926921	2.22044604925031e-16	109.616464014566	2.22044604925031e-16	18.9104732684361
"MT-ND3__pos"	65.6288950882565	43.6482751996754	11.1188214961185	32.5232469502301	43.6621083211381	2.22044604925031e-16
"RELN__pos"	2.22044604925031e-16	2.22044604925031e-16	165.975674137244	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"ICAM1__pos"	12.360020487936	6.13300308189255	4.42017629078182	59.748150616278	3.16831490069871	202.32639415944
"KDR__pos"	11.9598245694863	168.795030002737	15.0553657415933	46.9137818273422	4.43395132498732	12.7256839154607
"THBS1__pos"	3.23553601584866	39.4471809384556	10.3039426620636	152.364231372616	12.6142212738621	53.0374466376432
"MT-CO2__pos"	38.9665842559666	67.699035632687	9.62614920329952	28.8250091483927	48.2335747170966	2.22044604925031e-16
"CYP1B1__pos"	121.570299549844	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	83.8284777841419
"ACKR2__pos"	2.22044604925031e-16	2.22044604925031e-16	147.855373516983	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IL33__pos"	54.1431782520479	2.22044604925031e-16	7.95809966208573	2.22044604925031e-16	2.22044604925031e-16	199.015537992252
"PTP4A3__pos"	5.58908063944245	169.72332165245	11.3155264955878	34.1707625927183	7.03277069417524	8.41074462131247
"MGLL__pos"	44.3558362582852	11.5566783863178	13.1782256525699	137.227634654543	1.84611402881517	71.2072101793074
"MT-ND4__pos"	51.3936932803054	53.3364196082516	4.65876366368553	33.0236860287699	52.2221828941884	2.22044604925031e-16
"AQP1__pos"	118.28829436369	77.4599304041554	2.22044604925031e-16	2.22044604925031e-16	3.46494060651486	50.800266079508
"TFPI__pos"	33.0529005051026	18.4868771007458	150.975638791811	3.77910406602292	9.31726903201432	78.6251701915777
"CCL14__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	225.043795158517
"CXCL12__pos"	32.6534197390461	168.840578904722	1.39526198258268	2.22044604925031e-16	3.76688051046433	3.88271981156476
"AP2S1__pos"	22.4331729996392	34.0873437776047	16.0959444983613	119.727400486945	37.7970883254177	10.88074109845
"MT-ATP6__pos"	58.4510963931031	61.7895235373875	13.1592167376616	26.8263178158726	40.5349057393938	2.22044604925031e-16
"POSTN__pos"	144.215669971205	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	90.2990325186657
"MMRN1__pos"	22.192460331221	2.22044604925031e-16	147.98033800668	2.22044604925031e-16	2.22044604925031e-16	107.033444455757
"TRIB1__pos"	2.22044604925031e-16	13.3436589328117	11.4004618771668	41.6402240646338	2.22044604925031e-16	187.349800413906
"ADAMTSL2__pos"	17.9079102717661	179.313888620186	2.22044604925031e-16	3.20737067359882	2.22044604925031e-16	2.22044604925031e-16
"FAM167B__pos"	66.3014979850502	59.2196203743359	2.22044604925031e-16	125.414121891539	9.85692087575567e-13	17.9567702067904
"MT-CYB__pos"	49.9735673443089	59.5327514173102	8.78847008982888	17.819387094729	55.1753162935831	2.22044604925031e-16
"RNASE1__pos"	121.271286443943	56.4479453285186	2.22044604925031e-16	20.1322734379284	3.86105952979962e-13	22.1398013333696
"SEMA3A__pos"	2.22044604925031e-16	2.22044604925031e-16	155.887727077385	2.22044604925031e-16	2.22044604925031e-16	8.84023475758013
