"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"KRT6B__pos"	2.22044604925031e-16	2.22044604925031e-16	91.7445681696726	2.22044604925031e-16	6.29679784596878	2.22044604925031e-16
"PSMA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	89.7296863934685
"HSPH1__pos"	8.17291365278495	9.41392167856866	27.9292197418397	0.515337918671447	73.4331458470671	3.31394188402487
"KDM6B__pos"	64.039342001965	6.99254106385791	12.2864367176219	2.22044604925031e-16	32.4842586075359	9.49247170646425
"KIT__pos"	32.8257358931278	12.9989650015056	0.509526018938235	56.848758447281	4.29966526077093	5.50607085179879
"CSRNP1__pos"	58.4560335192723	1.5070595841899	9.2912771210108	6.41739570678648	35.264757487719	15.0170726090318
"KRT6A__pos"	2.22044604925031e-16	2.22044604925031e-16	92.4046743083033	2.22044604925031e-16	21.910066098284	2.22044604925031e-16
"RPS17__pos"	12.3032760916086	4.98831282285609	21.0465397428025	2.22044604925031e-16	18.755339080743	67.4799037287073
"HSPA1A__pos"	3.13199946800279	5.56905971377757	36.0290859526251	1.28618384111243	73.7558885048281	3.00307111331746
"DDX3Y__pos"	72.7682015050592	0.00011536806655663	2.22044604925031e-16	17.6916659795921	2.22044604925031e-16	15.2719947032075
"HS3ST1__pos"	16.0114689431362	10.6663748825565	2.68066524674773	66.8818300102931	19.1689101374729	3.60823393387259
"NFKBID__pos"	76.0085922380619	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	37.906100253888	2.26213032238816
"FGFBP1__pos"	2.22044604925031e-16	2.22044604925031e-16	88.4064916979623	2.22044604925031e-16	3.55028592155438	2.22044604925031e-16
"HSPA1B__pos"	3.39795662355872	4.06302508474652	39.513721848073	1.93021158948732	71.7381422520341	4.8605063661456
"RPL7__pos"	10.2775499389433	13.4033740626863	10.8081445755292	2.22044604925031e-16	7.13542049963955	53.5430184070032
"RBBP8__pos"	66.804998924026	2.22044604925031e-16	8.37682849173042	2.22044604925031e-16	34.1728371761218	6.88431870956474
"FOSB__pos"	42.9236349128046	5.00951124782052	10.0896052261917	5.89022347125007	21.281378189246	6.71683137565857
"IFITM2__pos"	6.53742144343848	19.0185993274459	0.921852358535305	41.2516041241868	15.1224920699699	12.1238019332351
"CLDN4__pos"	2.22044604925031e-16	2.22044604925031e-16	89.5726092545164	2.22044604925031e-16	15.6728462903311	2.22044604925031e-16
"HSPD1__pos"	4.48441560526862	9.41259177178417	33.09513794611	5.0777759344511e-12	67.0288475890402	3.47880008832854
"RPL34__pos"	12.2164784933875	22.2756151627057	2.22044604925031e-16	12.3764308060269	1.98677316185812	52.1646558550882
"REL__pos"	52.5107492903227	17.8029255046899	6.1783101162103	1.00085639238112	28.1643417297638	5.24620967714405
"SLC25A44__pos"	42.0209916546055	2.22044604925031e-16	7.31822741339129	2.22044604925031e-16	16.1272685849589	8.64847947242313
"POLD4__pos"	22.8372108731253	6.57283738551906	9.35288535399919	56.5587230395087	24.9427312850509	2.13773005974497
"AKR1C2__pos"	2.22044604925031e-16	2.22044604925031e-16	89.8287570797367	2.22044604925031e-16	12.9723712947592	2.22044604925031e-16
"DNAJB1__pos"	8.62777971642099	6.44772637939405	31.3282591647182	2.22044604925031e-16	66.1896248031526	4.6164982369675
"RPL31__pos"	6.4818882340252	15.2104703822685	12.1541859826983	3.79071288266111	5.02459756312528	50.2894765657014
"BCL2A1__pos"	57.0626390070936	11.8603981434412	11.9305897557763	2.22044604925031e-16	23.069041786012	22.3649047932064
"TSPYL2__pos"	47.020825014664	7.48580769850891	6.07573872392472	13.9035530536852	39.00741536828	10.0522268797943
"CD69__pos"	20.1595498972084	3.70803453260147	0.615123455007402	45.5567137285385	17.5693275205766	20.4893421913484
"DSC3__pos"	2.22044604925031e-16	2.22044604925031e-16	87.5069067010756	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"HSP90AB1__pos"	10.6386302453252	3.11497711034928	18.9548031041303	2.22044604925031e-16	62.5841358933684	2.22044604925031e-16
"RPL23__pos"	10.7400336799002	16.9080903531883	10.9695061507732	8.57794010577916	9.41533378013129	44.6605757226937
"BIRC3__pos"	46.2830030894072	14.1704317401184	3.98495987021013	0.891135874228966	14.2008244273698	40.5968073071515
"MYADM__pos"	44.642975285339	10.3679561907161	5.84263400431128	2.22044604925031e-16	47.7031356875688	9.01805649055732
"AREG__pos"	24.6158494774598	21.3104969798055	3.4097436140699	47.4688064236086	15.4542511040395	2.27553085959143
"SFN__pos"	2.22044604925031e-16	2.22044604925031e-16	90.5251180120533	2.22044604925031e-16	25.2597037639737	2.22044604925031e-16
"HSP90AA1__pos"	5.36681749932888	2.69129723594171	22.6657539509512	5.73709297608815e-10	60.8323686254275	3.2302833021018
"CREM__pos"	37.802998183203	4.43525262175444	3.41594765765389	2.22044604925031e-16	27.146009668182	47.9506638003688
"NFKBIZ__pos"	47.4755038381032	8.27853571346813	6.10709182240316	4.49648853080369	36.1299509801505	0.316999790912674
"MAP3K8__pos"	58.6913130203343	17.4597739816597	13.4533413382807	1.00151194695415	20.1354311482467	15.8245345969092
"MS4A2__pos"	27.6610976263652	0.921947235437995	0.000805519949017384	42.7958912318557	11.5358255979354	14.5416094215089
"LY6D__pos"	2.22044604925031e-16	2.22044604925031e-16	87.8025678863226	2.22044604925031e-16	18.8720344938905	2.22044604925031e-16
"HSPE1__pos"	2.3846323586361	16.9872891036486	24.7270389856226	2.05447042467382	57.2520341113221	4.77966119769729
