"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"IL7R"	"IL7R"	1.06915146916733	-0.258377139105968	0.981360997215592	-0.342865532045295	-0.434410213136723	-0.40796285161289	"IS01"	1.06915146916733
"REL"	"REL"	0.985775493566895	-1.1422484581579	-0.243937382878287	0.0132637472496591	-0.135734224932212	0.520501912250569	"IS01"	0.985775493566895
"DUSP4"	"DUSP4"	0.974434328120427	-0.673333264922322	-0.331594195587273	-0.512902467145835	0.334639308037202	0.0614408807924266	"IS01"	0.974434328120427
"ADGRE5"	"ADGRE5"	0.957293987133768	-0.464813298235921	-0.225044323212115	0.309046653871352	-0.276334070781989	-0.419636162971217	"IS01"	0.957293987133768
"CRTAM"	"CRTAM"	0.899510953589262	-0.432461236227928	0.151148298676365	-0.280206325176744	-0.160447805073402	-0.0289548552369567	"IS01"	0.899510953589262
"BACH2"	"BACH2"	0.899001163040712	-0.315190004434421	0.189735542258599	-0.281207745856666	-0.269899359795099	-0.0463765275690658	"IS01"	0.899001163040712
"CSF2"	"CSF2"	0.887198402101002	-0.225163245576426	0.249195090409719	-0.27895432909459	-0.193667988018552	-0.264951812862712	"IS01"	0.887198402101002
"EEF1A1"	"EEF1A1"	0.840836367145139	-0.543834630967697	0.823765364076455	0.363259709011016	-1.10435687856171	0.257273530700065	"IS01"	0.840836367145139
"XCL1"	"XCL1"	0.792824977313345	-0.307695116393032	0.649477733892006	-0.844099999132873	-0.284207667589142	0.516979587436572	"IS01"	0.792824977313345
"BHLHE40"	"BHLHE40"	0.767323388450562	-0.316886854638128	0.0315240249817945	0.329952515730976	-0.421873240363831	-0.351560987359262	"IS01"	0.767323388450562
"XCL2"	"XCL2"	0.730902896484974	-0.159651803212454	0.518149842304621	-0.696547728652454	0.0642030912992555	-0.131041580544643	"IS01"	0.730902896484974
"MAFF"	"MAFF"	0.725111962538493	-0.575786325687171	-0.0510777527116807	-0.127119635904634	0.182652349724	-0.179010309388515	"IS01"	0.725111962538493
"CXCR4"	"CXCR4"	0.703438993433293	-0.679859395723712	-0.0537680705539666	0.515282948095393	0.0916314448237745	-0.674199760943533	"IS01"	0.703438993433293
"AHI1"	"AHI1"	0.694761140110319	-0.555056480371066	-0.112182248296299	-0.355216041334776	0.116985365070499	0.209862746108855	"IS01"	0.694761140110319
"KDM6B"	"KDM6B"	0.692824845525739	-0.775864513759524	-0.169339121129428	0.107644206924505	-0.163249922386637	0.302366718847286	"IS01"	0.692824845525739
"TPT1"	"TPT1"	0.687807277048873	-0.532671588924112	0.365678082071992	-0.0363834336248539	-0.596838544717346	0.473120166852161	"IS01"	0.687807277048873
"HLA-A"	"HLA-A"	0.678905324351965	-1.49033315960993	-0.484619525874635	0.573656925053566	0.402488314691783	0.0516810535826157	"IS01"	0.678905324351965
"TNFSF4"	"TNFSF4"	0.669861551487861	-0.177528256105249	0.338885131170818	-0.300104597231906	-0.0667354967352927	-0.258583433880171	"IS01"	0.669861551487861
"TIAM1"	"TIAM1"	0.661531370889104	0.016362486132968	-0.0742895334793323	-0.333002348744583	-0.0292890386591293	-0.282111924139063	"IS01"	0.661531370889104
"NR4A3"	"NR4A3"	0.658892572818591	-0.747268102585548	-0.215868977747458	0.229709898213166	-0.19716757482272	0.22778558219605	"IS01"	0.658892572818591
"TCF7"	"TCF7"	0.637871808088192	-0.329624931399943	0.383081441687395	-0.438916337044181	-0.028155818685571	0.0474437938866017	"IS01"	0.637871808088192
"SATB1"	"SATB1"	0.624957265663428	-0.366472551293512	-0.0340998058442354	0.00371277466578586	0.0072523708854033	-0.256470083900598	"IS01"	0.624957265663428
"TRAF1"	"TRAF1"	0.622217669550811	-0.487913228559198	-0.211715550152072	-0.312479351447774	-0.0914206740513181	0.469235654955464	"IS01"	0.622217669550811
"IL12RB2"	"IL12RB2"	0.605622247473643	-0.00278823883075271	-0.116899079344398	-0.248076535161174	-0.103593034029447	-0.184816715917184	"IS01"	0.605622247473643
"MAP3K8"	"MAP3K8"	0.604137177918148	-0.354932075377862	-0.0722806482503568	-0.265593744660289	-0.00836401015198775	0.107550858635052	"IS01"	0.604137177918148
"TIPARP"	"TIPARP"	0.600843486906756	-0.599767536257529	-0.170542343802241	-0.138503575796897	-0.0716534489283674	0.373955843928161	"IS01"	0.600843486906756
"IRF7"	"IRF7"	0.598282493337046	-0.207961060054771	-0.4036559269482	-0.413601682680164	-0.00196437199573866	0.270113939040296	"IS01"	0.598282493337046
"RNF19A"	"RNF19A"	0.594982121781278	-0.378246549384817	-0.138587727806762	0.333779166137755	-0.26921117759946	-0.20239433274275	"IS01"	0.594982121781278
"CSRNP1"	"CSRNP1"	0.589756684435673	-0.696661736771337	-0.167934441552599	-0.142569574292299	-0.0273622131287806	0.44742941847156	"IS01"	0.589756684435673
"SRGN"	"SRGN"	0.587051139260764	-0.920338007384029	-0.619429365377361	0.424289280123498	0.310575689829221	-0.156097155247416	"IS01"	0.587051139260764
"CXCR3"	"CXCR3"	0.585733073566054	0.0163188958761065	-0.0511370450646387	-0.125361804150412	-0.0840331075222342	-0.385877648396703	"IS01"	0.585733073566054
"RPS27A"	"RPS27A"	0.583887817625009	-0.689819892519135	0.579833112864721	0.217535315237246	-0.452737313294129	0.188218697460472	"IS01"	0.583887817625009
"HSPA5"	"HSPA5"	0.581062799848977	-0.964646221930299	-0.418838958130829	0.430236741174164	-0.206424207422692	0.441501108009966	"IS01"	0.581062799848977
