"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"FGFBP2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	199.086387833034	2.22044604925031e-16	2.22044604925031e-16
"RPS10__pos"	16.5870933374496	2.22044604925031e-16	39.9136860886084	18.7885863239399	168.085269752505	28.41266639038
"RPL41__pos"	2.22044604925031e-16	114.975462649554	65.307784789703	2.22044604925031e-16	37.7407490619868	2.22044604925031e-16
"PLPP1__pos"	15.4696039214447	7.24843332620426	1.87379067040386e-06	2.22044604925031e-16	40.7564349138469	185.977486909178
"IL7R__pos"	142.322297163617	3.25841675790386	108.634951243931	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"ACTB__pos"	1.37618157619912	92.0330045588017	2.22044604925031e-16	30.2357733535916	21.6007244004905	67.6090825099494
"PSMA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	199.056587465247	2.22044604925031e-16
"GZMH__pos"	1.86837459722279	27.5772400720599	2.22044604925031e-16	198.517647170218	10.87918714207	2.22044604925031e-16
"LDLRAD4__pos"	86.439186122868	2.67345855665672	1.24242606885847	1.21846791451202	52.3146788062539	125.706479878284
"REL__pos"	132.584267883233	2.22044604925031e-16	2.22044604925031e-16	38.9650293629642	10.9658027676164	60.7646030615336
"RPL30__pos"	12.181675194336	28.9537897805098	142.488436776485	17.97672444939	2.22044604925031e-16	10.3184702412722
"CCL4__pos"	3.65945318884381	119.151098020738	2.22044604925031e-16	115.211060020073	13.7973036996658	2.22044604925031e-16
"S1PR5__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	181.291253760462	2.22044604925031e-16	2.22044604925031e-16
"NDUFB8__pos"	2.22044604925031e-16	1.68668045282448	14.1629767236803	2.22044604925031e-16	199.95503048324	2.22044604925031e-16
"LAYN__pos"	2.22044604925031e-16	0.000102426788831789	2.22044604925031e-16	2.22044604925031e-16	37.6463071692574	194.14951352495
"ADGRE5__pos"	136.412301099408	17.8539819242588	4.20198518701247	65.4069768402429	18.6273981400253	15.757958830191
"RPS23__pos"	16.3707201300577	28.5755150768375	139.536709187783	1.6342518653023	2.22044604925031e-16	11.5525228143788
"GPR174__pos"	2.22044604925031e-16	124.116851503321	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"FCGR3A__pos"	2.22044604925031e-16	19.7436529212148	2.22044604925031e-16	193.366753241067	3.06416780489076	2.22044604925031e-16
"RPS17__pos"	41.218623950107	2.22044604925031e-16	1.94739253510013	25.5526082127927	150.279788330195	34.856571714901
"ITGAE__pos"	11.6314793477204	51.7672098341368	0.486761785639021	17.2074201639011	34.9666199290973	147.210413942448
"EEF1A1__pos"	61.2391576403428	2.22044604925031e-16	131.256981904865	24.5887099329022	2.22044604925031e-16	13.2120617965299
"RPL19__pos"	17.5246529595288	47.2219952481382	129.704565806335	3.03463481178547	2.22044604925031e-16	4.00303914068243
"CD160__pos"	2.22044604925031e-16	91.5198061072702	2.22044604925031e-16	50.945496401407	16.2180951476159	9.73037342292473
"TMSB4X__pos"	2.22044604925031e-16	46.5725771597208	2.22044604925031e-16	2.22044604925031e-16	154.834017651931	18.7601220741101
"ITGB2__pos"	75.2198135214631	3.41937298292526	19.88792410189	164.081030445418	2.22044604925031e-16	2.22044604925031e-16
"NCR2__pos"	2.22044604925031e-16	22.733397535669	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	160.238759024629
"RPS15A__pos"	8.50039421904989	30.2160242426697	143.219175594383	2.89579033566533	12.2411618923554	0.751120650622015
"DUSP4__pos"	158.58175363042	2.09907382386139	1.29765482249429	11.5022040814212	58.4801871891944	48.2845544620875
"GZMA__pos"	1.43757334502758	83.3003042316989	2.22044604925031e-16	70.5774579015021	70.3547171403818	22.9572279470109
"RPL27A__pos"	26.8928022132006	2.22044604925031e-16	38.0957814930858	17.8310357070656	130.423597749158	3.32575001101705
"GZMM__pos"	23.9129398619262	35.1357184736175	2.22044604925031e-16	177.496982685777	16.0935566497758	2.22044604925031e-16
"PTPRCAP__pos"	14.462938095981	2.22044604925031e-16	6.86277162665906e-09	65.8560201359037	2.22044604925031e-16	126.810056701331
"RPL10__pos"	22.0313900675986	21.8921060378238	166.318685754501	17.5844787637543	3.46623007001799e-15	2.22044604925031e-16
"CRTAM__pos"	169.531040609368	2.22044604925031e-16	33.1297658221195	8.9323366492619	2.86617186326996e-05	31.5011513250243
"DENND2D__pos"	26.6021081522283	129.997679274026	11.6608357530143	31.8302962109921	14.3212735754928	23.1182380482474
"NDUFA13__pos"	12.5436187959215	11.4994567978602	24.0713499904574	21.2493664482703	161.411492857645	26.4603530531559
"SPON2__pos"	2.22044604925031e-16	29.1677388068024	2.22044604925031e-16	159.774702076171	5.49170876742059	6.58406157126024
"GPR25__pos"	2.22044604925031e-16	40.441684713559	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	118.932221216611
"RPS12__pos"	33.0575182274559	28.5874312530002	129.303227086382	9.35849598727471	2.22044604925031e-16	4.35982411186707
"CSF2__pos"	156.93870049956	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CDH17__pos"	2.22044604925031e-16	69.12434358309	2.22044604925031e-16	2.22044604925031e-16	23.6680223756671	6.28929870496029
"PMF1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	182.760944656091	2.22044604925031e-16
