"IS01"	"IS02"	"IS03"	"IS04"
"CXCL3__pos"	2.3230602677316	2.22044604925031e-16	41.1638452147733	2.22044604925031e-16
"INSIG1__pos"	2.49664535513171	2.22044604925031e-16	27.2208497411917	13.3013700279652
"APOC1__pos"	37.3694106984199	0.356762451141342	3.78771088182477	2.22044604925031e-16
"NAPSA__pos"	0.768680987903709	2.22044604925031e-16	2.22044604925031e-16	36.4103016897603
"SOD2__pos"	1.72526994117573	0.12797217579441	37.8593564286283	2.22044604925031e-16
"GPR157__pos"	0.462607479034541	2.22044604925031e-16	9.9015811016891	20.3677940365668
"APOE__pos"	39.0640221900745	2.22044604925031e-16	3.30474458413363	2.22044604925031e-16
"ACTB__pos"	2.06567777084986	3.18843559027411	3.02031319022624	28.4311496570957
"CXCL8__pos"	2.22044604925031e-16	1.07767561308759	43.0256076948165	2.22044604925031e-16
"NR4A3__pos"	1.69653102410614e-10	2.22044604925031e-16	32.4609414568152	11.7951340726062
"LIPA__pos"	35.8658210877415	1.82520438081179	2.19831517533487	0.83486899874936
"CKLF__pos"	6.41811338205128	9.21891011938602	2.12048354986578e-11	27.2718207807599
"CXCL2__pos"	2.74588226974035	2.22044604925031e-16	41.1823914573521	2.22044604925031e-16
"GPR183__pos"	1.89620596207138	2.22044604925031e-16	27.7338988995919	11.6815706927755
"SLCO2B1__pos"	38.8170625631582	2.22044604925031e-16	2.27642081445155	2.22044604925031e-16
"PRELID1__pos"	6.04285772948926	10.3290748255884	2.22044604925031e-16	19.7044872671411
"CCL20__pos"	2.22044604925031e-16	2.22044604925031e-16	38.2833295327522	2.22044604925031e-16
"ETV3__pos"	0.588514914086208	2.22044604925031e-16	27.844729956926	10.4647186019062
"C1QA__pos"	36.0918195424303	2.22044604925031e-16	2.40311378354255	2.50352257166841
"TMSB10__pos"	7.08727779919878	12.0664231369177	2.22044604925031e-16	10.5116964655249
"CCL3__pos"	10.1949804716429	1.417007040379	30.7624330132239	2.22044604925031e-16
"PIM3__pos"	1.26306745457674	2.22044604925031e-16	33.4945505490668	8.96978253958419
"PLD3__pos"	34.3430940917464	0.727612672314698	4.94723178510234	2.22044604925031e-16
"LGALS2__pos"	11.6104332563035	3.57476877843081	2.22044604925031e-16	28.6059978194325
"IER3__pos"	3.58143783549706	1.18947779235941	36.1983351958306	0.105396649308713
"SERPINB9__pos"	2.22044604925031e-16	1.82609456456274	19.6866709298544	22.3158232178456
"TREM2__pos"	38.4257684098126	2.22044604925031e-16	2.4422764644963	2.22044604925031e-16
"PFN1__pos"	4.63641646797411	4.73630666470863	1.52765239627327	20.3229463447551
"ABL2__pos"	4.3389785051916	2.5487930935879e-10	36.6862894980735	0.788157251926408
"REL__pos"	0.689836399060332	0.985032353982666	30.720625921916	8.89499853289256
"C1QC__pos"	35.2869097024918	2.22044604925031e-16	2.56277640444637	3.00940772801435
"SH3BGRL3__pos"	3.97306450636513	17.6199284867654	1.72870027698258e-08	9.74984301076315
"IL1B__pos"	2.22044604925031e-16	2.22044604925031e-16	39.1480371517523	4.22884659424053
"TRAF1__pos"	2.22044604925031e-16	2.22044604925031e-16	35.1956346241208	6.52086307457534
"C1QB__pos"	36.3044976703215	2.22044604925031e-16	1.38976060362118	3.49548537023733
"LSM6__pos"	12.5071794864295	11.5710737283989	2.22044604925031e-16	18.2599378510248
"CTSL__pos"	19.4084775153041	0.098163599611269	21.2344680343565	2.22044604925031e-16
"MARCKSL1__pos"	6.88870131519975e-13	4.19340483774853	8.21002325364415	31.4657770699909
"KCNMA1__pos"	35.3923865433754	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SUSD3__pos"	6.54957561708427	0.867356071273617	0.147050177765498	27.1498858721447
"PLAUR__pos"	1.49729386421674	0.0386451719563778	35.6903525203457	0.712757522697964
"COTL1__pos"	2.0074984884798	2.48256319662189	13.65130637706	18.5555122893645
"FTL__pos"	26.5921481805787	4.08899904714903	2.99822318558243	2.22044604925031e-16
"RGS19__pos"	15.9998924186424	9.10980438705554	2.22044604925031e-16	16.7178450934041
"CCL4__pos"	11.8183842998018	2.55981450953234	28.0263264198646	1.25916563729197e-15
"CDKN1A__pos"	0.205786592843156	1.50393219010702	27.192466698059	11.9642233946316
"PLA2G7__pos"	32.5051407888242	2.22044604925031e-16	9.45601492798068	2.22044604925031e-16
"SERPINF2__pos"	4.86047430326194	2.22044604925031e-16	2.22044604925031e-16	22.0795364626068
"PLIN2__pos"	7.78481990724666	5.7500963237242	27.7852568568633	2.22044604925031e-16
"CST7__pos"	1.82856882943267	4.86360659424299	2.75324487265092	33.8806649450844
"SLC40A1__pos"	36.9252651561295	0.398753387529522	2.22044604925031e-16	0.232811921661273
"RGS10__pos"	12.2758568940233	5.60064590592157	2.22044604925031e-16	16.7206463019082
"TNFAIP6__pos"	2.22044604925031e-16	2.22044604925031e-16	32.277553244872	2.22044604925031e-16
"CD83__pos"	0.536574290306063	2.22044604925031e-16	31.7064195942199	8.61602171224891
"A2M__pos"	34.7034215721206	2.22044604925031e-16	5.33662443377316	0.726401980089946
"UCHL3__pos"	10.5060712317042	4.2657462118242	1.28850256925607	24.3372570880108
"PDE4DIP__pos"	8.15866997424678	3.37650324358595	30.9554885488553	2.22044604925031e-16
"JAML__pos"	4.31699245550054	1.86303968966974	1.755042821449	35.1049052601364
"CREG1__pos"	28.8817961733259	1.43077354072225	10.245651872812	2.22044604925031e-16
"TMSB4X__pos"	11.1556907292307	4.76522373244118	2.22044604925031e-16	15.556080158599
