"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"ADGRG5"	"ADGRG5"	0.421055494888043	0.0270844575856928	-0.289576050768728	"S01"	0.421055494888043	"IS01"
"BRD2"	"BRD2"	0.419828840749248	-0.668561334877401	0.308950248758214	"S01"	0.419828840749248	"IS01"
"MS4A1"	"MS4A1"	0.418380998866891	-0.179103579030749	-0.110712463701055	"S01"	0.418380998866891	"IS01"
"TCEA1"	"TCEA1"	0.415703019481408	-0.00805951181888801	-0.255992488461269	"S01"	0.415703019481408	"IS01"
"BASP1"	"BASP1"	0.415023370558841	-0.0751197471670697	-0.197939503758213	"S01"	0.415023370558841	"IS01"
"FCRLA"	"FCRLA"	0.414978381989241	-0.0971436176272096	-0.178986506328282	"S01"	0.414978381989241	"IS01"
"LCP1"	"LCP1"	0.414099145445887	-0.0102861745013035	-0.253064779664419	"S01"	0.414099145445887	"IS01"
"KLHL6"	"KLHL6"	0.412699015688852	-0.0789880658698603	-0.193145483021806	"S01"	0.412699015688852	"IS01"
"HRK"	"HRK"	0.411509452853273	-0.0549819929751409	-0.213020924691988	"S01"	0.411509452853273	"IS01"
"PARP1"	"PARP1"	0.409205470563373	0.0280987873759636	-0.282952906602269	"S01"	0.409205470563373	"IS01"
"TRIM55"	"TRIM55"	0.408861571242187	-0.0902618845117869	-0.181031130276552	"S01"	0.408861571242187	"IS01"
"SYVN1"	"SYVN1"	0.408639927298284	-0.0327134697568196	-0.230340816285511	"S01"	0.408639927298284	"IS01"
"FAM111B"	"FAM111B"	0.403146578414995	-0.248759736088058	-0.0412234795563171	"S01"	0.403146578414995	"IS01"
"FCRL5"	"FCRL5"	0.402893591236919	-0.0483067868040309	-0.213307521901556	"S01"	0.402893591236919	"IS01"
"WIPF1"	"WIPF1"	0.401761274587267	-0.22894662143748	-0.0573722209528725	"S01"	0.401761274587267	"IS01"
"ITSN2"	"ITSN2"	0.39997592356326	-0.228219042718888	-0.0568682376433077	"S01"	0.39997592356326	"IS01"
"UCP2"	"UCP2"	0.399249316387613	0.0470018800660823	-0.29289892243409	"S01"	0.399249316387613	"IS01"
"CPNE5"	"CPNE5"	0.398391049734407	-0.0311472943210409	-0.225204528936058	"S01"	0.398391049734407	"IS01"
"S1PR2"	"S1PR2"	0.398194720909504	-0.203990119488541	-0.0765609770829553	"S01"	0.398194720909504	"IS01"
"RSRC2"	"RSRC2"	0.396563659406495	-0.389105009745087	0.083535062628801	"S01"	0.396563659406495	"IS01"
"TFEB"	"TFEB"	0.396445915733922	0.212057761985916	-0.432954129431462	"S01"	0.396445915733922	"IS01"
"ID3"	"ID3"	0.395701567694423	-0.259378855893304	-0.0273900314157089	"S01"	0.395701567694423	"IS01"
"MOB3A"	"MOB3A"	0.395316294295775	-0.371840192889759	0.0694887663064318	"S01"	0.395316294295775	"IS01"
"MCOLN2"	"MCOLN2"	0.394944031505916	-0.14060613621958	-0.128969249810899	"S01"	0.394944031505916	"IS01"
"BCAS4"	"BCAS4"	0.394194732420262	0.171419460725955	-0.396610889765713	"S01"	0.394194732420262	"IS01"
"PTMA"	"PTMA"	0.393827301572307	-0.387551350946752	0.0839306956371112	"S01"	0.393827301572307	"IS01"
"ACTR2"	"ACTR2"	0.391428496900995	-0.150038750895718	-0.118640593003594	"S01"	0.391428496900995	"IS01"
"NLRP4"	"NLRP4"	0.389313114962063	-0.124784573254175	-0.139002950239657	"S01"	0.389313114962063	"IS01"
"CCT8"	"CCT8"	0.38442240401317	-0.158560417406318	-0.106887032756276	"S01"	0.38442240401317	"IS01"
"LPXN"	"LPXN"	0.383614934443067	-0.259481914735045	-0.019657097040624	"S01"	0.383614934443067	"IS01"
"ACTR3"	"ACTR3"	0.382366049696525	0.0219544329737042	-0.260698213575806	"S01"	0.382366049696525	"IS01"
"ARHGAP25"	"ARHGAP25"	0.381858627279063	-0.112745895560052	-0.144632769109579	"S01"	0.381858627279063	"IS01"
"NCOA3"	"NCOA3"	0.381101269373663	-0.0549387844543798	-0.193825925619039	"S01"	0.381101269373663	"IS01"
