"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"LILRA4"	"LILRA4"	1.53657891327598	0.170652367942497	-1.37278314060255	0.823734463538168	-1.02728687990927	"IS01"	1.53657891327598
"JCHAIN"	"JCHAIN"	1.45249008185815	0.218687479507625	-1.38082249082318	1.02058775926297	-1.08136788677034	"IS01"	1.45249008185815
"CLIC3"	"CLIC3"	1.43945299067222	0.165556558312974	-1.17154760228941	0.586763471031463	-0.978482451946174	"IS01"	1.43945299067222
"PLAC8"	"PLAC8"	1.37018396078575	0.13588809784444	-1.42239951660957	0.778710826847909	-0.639840373597315	"IS01"	1.37018396078575
"GZMB"	"GZMB"	1.37017104883648	0.270960617808292	-1.41470599656975	1.16692487665589	-1.05485100519071	"IS01"	1.37017104883648
"MZB1"	"MZB1"	1.33980125809638	0.226067733458493	-1.19271918832042	0.768474007361238	-0.98013189210868	"IS01"	1.33980125809638
"UGCG"	"UGCG"	1.33710319892345	0.161509128251322	-0.862883781624665	0.0924199829220064	-0.860420481184578	"IS01"	1.33710319892345
"IRF8"	"IRF8"	1.32986280844802	-0.0123966804361401	-0.962786441038112	0.552196417624363	-1.02816633714219	"IS01"	1.32986280844802
"MPEG1"	"MPEG1"	1.32152432439818	-0.0214834022097552	-1.17038808095708	0.639332230620892	-0.765936419096128	"IS01"	1.32152432439818
"SMPD3"	"SMPD3"	1.31744248813184	-0.0165818984228309	-1.12066070097674	0.662556351196237	-0.859797106405101	"IS01"	1.31744248813184
"CXCR3"	"CXCR3"	1.31729966648218	0.178698019048511	-1.02036854288277	0.340993106888733	-0.813380358322596	"IS01"	1.31729966648218
"ITM2C"	"ITM2C"	1.30641721520261	0.159816984065655	-1.20931515566216	0.885008911328206	-0.978315926158376	"IS01"	1.30641721520261
"MAP1A"	"MAP1A"	1.30401580173103	-0.180872947654365	-0.996012817663936	0.52089557183794	-0.836788149941191	"IS01"	1.30401580173103
"DERL3"	"DERL3"	1.30101480030421	0.00185149610975256	-1.09604616626778	0.630435420894278	-0.852227293600223	"IS01"	1.30101480030421
"TCL1A"	"TCL1A"	1.29997366169909	0.210403080266442	-0.973456081113253	0.272894516365585	-0.81282354281696	"IS01"	1.29997366169909
"TCF4"	"TCF4"	1.29331520654254	0.0743230715420015	-1.13905982152142	0.878778814449756	-1.02535484000938	"IS01"	1.29331520654254
"PPP1R14B"	"PPP1R14B"	1.29239729059005	0.0581211339396158	-1.17556872065394	0.754490358599441	-0.849685652353097	"IS01"	1.29239729059005
"IDH3A"	"IDH3A"	1.27226050577535	0.0301070524555003	-0.997692423089075	0.118613344135697	-0.518156443604475	"IS01"	1.27226050577535
"IRF7"	"IRF7"	1.2565229236525	0.185227360594244	-1.22206498653798	0.933321081771399	-0.935764844254865	"IS01"	1.2565229236525
"SELL"	"SELL"	1.23505497793475	0.0921663840760531	-1.12904562062871	0.884686511474224	-0.964440291349932	"IS01"	1.23505497793475
"CLEC4C"	"CLEC4C"	1.21500742562764	0.00225056555297626	-1.01737605840869	0.648721301432202	-0.859094947932419	"IS01"	1.21500742562764
"C12orf75"	"C12orf75"	1.19673889927476	0.0832870404122277	-1.30538593006839	0.910532111292274	-0.650446133936627	"IS01"	1.19673889927476
"NAPSA"	"NAPSA"	1.19049314079046	-0.0344040086863146	-0.947988130650811	0.00249016284716268	-0.339136788455474	"IS01"	1.19049314079046
"CYB561A3"	"CYB561A3"	1.18996741841582	-0.22052903776296	-1.06404820224445	0.729935205773431	-0.724809784693251	"IS01"	1.18996741841582
"PLD4"	"PLD4"	1.18960965348801	-0.129189601900989	-1.4526173290091	1.00673774341341	-0.404921864163713	"IS01"	1.18960965348801
"SMIM5"	"SMIM5"	1.18569802168517	0.0582500439864584	-0.690363452424963	-0.228560892879134	-0.566891345485	"IS01"	1.18569802168517
"DNASE1L3"	"DNASE1L3"	1.18245063761154	0.106284538819132	-0.819355112969554	0.239872478880613	-0.798296516159885	"IS01"	1.18245063761154
"LAMP5"	"LAMP5"	1.17573101995308	0.0039518266915841	-0.842222973851418	0.233792861173875	-0.703151522109094	"IS01"	1.17573101995308
"SCT"	"SCT"	1.15875602131806	0.0799661880339012	-1.05368272638691	0.79281261177838	-0.877710565787838	"IS01"	1.15875602131806
"LRRC26"	"LRRC26"	1.15859859258766	-0.0186852519337446	-0.855259236503281	0.313058387890299	-0.717359844403644	"IS01"	1.15859859258766
"CCDC50"	"CCDC50"	1.15734741421661	-0.0428370800820463	-0.799980399998681	0.396783588487196	-0.865548151502296	"IS01"	1.15734741421661
"BLNK"	"BLNK"	1.14701270612648	0.0827403565374813	-0.778106747492044	-0.00518580260543827	-0.580117235351374	"IS01"	1.14701270612648
"IFI44L"	"IFI44L"	1.1227358129656	-0.0385677758549923	-0.946664377809667	0.44892834008218	-0.632400198545092	"IS01"	1.1227358129656
"PTCRA"	"PTCRA"	1.12184967485704	-0.126427240695139	-0.999863930073289	0.792669481630973	-0.816259126480519	"IS01"	1.12184967485704
"ALOX5AP"	"ALOX5AP"	1.11098617221631	0.137251843261804	-1.5583458074345	0.831581132791746	-0.0781946766440834	"IS01"	1.11098617221631
"SPCS1"	"SPCS1"	1.10308413742639	0.144490081687286	-1.00905184556722	0.336642057849001	-0.483770020865089	"IS01"	1.10308413742639
"TSPAN13"	"TSPAN13"	1.08975325112547	-0.00478243638085051	-0.574996044688483	0.647071181069536	-1.35074899504582	"IS01"	1.08975325112547
