"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"CD1A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	110.041786486019
"FSCN1__pos"	2.22044604925031e-16	2.22044604925031e-16	105.967448709925	0.537447506793225	4.07290141033429
"LDLRAD4__pos"	34.457581639261	1.72427848914577	7.9163453365712e-07	97.2838077668401	7.1982798103634
"LILRA4__pos"	107.12955111588	2.22044604925031e-16	2.22044604925031e-16	6.18560781811596	0.498102193767847
"TRAF1__pos"	1.415483700841	2.22044604925031e-16	83.9125426983901	22.7189780349041	7.28375547850659
"S100B__pos"	2.22044604925031e-16	2.22044604925031e-16	19.6625693003475	2.22044604925031e-16	109.896951229783
"LAMP3__pos"	2.22044604925031e-16	2.22044604925031e-16	107.39971046513	2.22044604925031e-16	3.64634046835774
"EGLN3__pos"	27.2014031459459	5.49865146729573	1.41310360467802	84.3418768250175	4.0485569966787
"JCHAIN__pos"	98.5849036314277	0.0465439410019997	2.22044604925031e-16	19.3819029995769	2.22044604925031e-16
"BCL2A1__pos"	1.08574528086358	2.49042656274755	72.8420521211065	25.0207509941859	21.4872761032816
"PLEK2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	98.4371788307844
"TMEM176A__pos"	2.22044604925031e-16	2.22044604925031e-16	96.5328817741903	0.125464759373976	11.1295126227713
"NR3C1__pos"	30.4989238486886	13.1650877125083	7.18027510814549	83.8006786597965	2.22044604925031e-16
"CLIC3__pos"	103.657732843218	1.91235731342724	2.22044604925031e-16	6.06824119078066	2.22044604925031e-16
"GPR137B__pos"	2.22044604925031e-16	2.22044604925031e-16	76.9757597077269	2.10026007260675	31.1427800757751
"PKIB__pos"	2.22044604925031e-16	2.22044604925031e-16	10.3286030036173	11.5262635144889	106.298052421492
"CCL19__pos"	2.22044604925031e-16	2.22044604925031e-16	94.8011113290526	2.22044604925031e-16	2.22044604925031e-16
"ZC3HAV1__pos"	19.6103883168862	1.68320344270041	17.5519253684961	95.6498672227037	2.6125952227067
"GZMB__pos"	91.098827714835	2.22044604925031e-16	2.22044604925031e-16	31.3963405492201	2.22044604925031e-16
"CD86__pos"	3.37293504579779	2.22044604925031e-16	76.4753581470629	6.64426443775019	34.8142209691186
"LST1__pos"	24.9117558046615	5.00897103547914	3.49282277535068	6.79994380450262	99.2551775569275
"TMEM176B__pos"	2.22044604925031e-16	2.22044604925031e-16	95.2943610045573	2.22044604925031e-16	14.0606743393155
"THBD__pos"	24.3047610092948	2.22044604925031e-16	2.22044604925031e-16	88.9580571850524	3.1643549099992
"PLAC8__pos"	91.4604662311688	0.725214984857807	2.22044604925031e-16	19.5179388272645	5.47553607070609
"IL4I1__pos"	2.22044604925031e-16	2.22044604925031e-16	74.1933204405602	34.2515499321341	14.557597248388
"AIF1__pos"	15.9673489502546	12.7774350650522	2.36581444972812	8.76535502936191	102.871251012494
"BIRC3__pos"	1.49909878178042	4.99836957220891	100.768005235276	3.84788900045035	0.309381300644608
"SLC7A5__pos"	56.7698635796672	1.27746656428595	0.539521273332399	71.7337097506059	1.07399464039324
"MZB1__pos"	101.147697589298	2.22044604925031e-16	2.22044604925031e-16	13.2976336429553	2.22044604925031e-16
"CST7__pos"	2.22044604925031e-16	3.19180859206259	85.5153953915169	2.02050068805525	28.2965418247759
"FCGBP__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	93.7000799914779
"RASSF4__pos"	2.22044604925031e-16	4.05705799283813	92.2077125503897	2.22044604925031e-16	17.7837416455218
"P2RY6__pos"	60.5700788781021	2.22044604925031e-16	2.22044604925031e-16	60.1695130052982	4.05564472855604
"UGCG__pos"	88.7433994597262	13.1711333702125	5.83501520769986	2.55596592393491	0.825415035293655
"GPR157__pos"	2.22044604925031e-16	2.22044604925031e-16	87.8069351209235	19.4461621295899	5.99288032209191
"IL22RA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	98.8705355562845
"MARCKSL1__pos"	2.22044604925031e-16	5.93998529632893	86.8015727006225	18.7077505776458	5.26666872806964
"ITM2C__pos"	87.2369477136013	3.83395478625698	1.30416289969983	24.2784859128642	2.22044604925031e-16
"POLB__pos"	45.2789934988216	2.11154590365821	0.874909557564852	69.6989071605801	8.5404114035983
"CCL22__pos"	2.22044604925031e-16	2.22044604925031e-16	92.8938586266674	2.22044604925031e-16	5.36949664561926
"CLEC4A__pos"	19.4355381049035	2.22044604925031e-16	2.22044604925031e-16	0.642960458434297	101.04868568268
"LAD1__pos"	2.22044604925031e-16	2.22044604925031e-16	98.7828980014568	2.22044604925031e-16	2.22044604925031e-16
"TCL1A__pos"	105.033227318756	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"NR4A3__pos"	11.4310673745281	2.22044604925031e-16	23.5641771515157	97.7155180880895	7.80662342128508
"NFKB1__pos"	11.3933456508881	2.82005253060492e-08	62.5326301549332	44.1958308991623	8.24435549928731
"ZNF385A__pos"	4.96343670838166	0.0671723037619962	10.942131402163	4.45141946304149	102.963005933834
"CCR7__pos"	1.84734246055647	0.997558690637081	95.9286561448315	16.8828586776906	2.22044604925031e-16
"IRF8__pos"	86.8523960958873	2.10306281852014	7.84449714016671	15.1891560496766	2.22044604925031e-16
"RNF149__pos"	44.0007117126374	4.72672339826665	5.65679466341096	71.1260826415892	8.99659142241591
