"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"C15orf48__pos"	11.0111497105074	2.22044604925031e-16	60.5376983428354	2.22044604925031e-16	41.9375506517117
"NFKB1__pos"	12.0396842337554	2.22044604925031e-16	10.9649230684966	2.04943908167497	83.5182078537783
"TRMT6__pos"	73.5996829576766	2.46862005120045	11.8723728800484	12.1572411535168	2.22044604925031e-16
"RPL41__pos"	13.8017113192927	49.9055676101134	2.22044604925031e-16	15.5408145344979	2.22044604925031e-16
"MARCKSL1__pos"	3.57613114335535	13.0555495670998	76.431595149671	2.22044604925031e-16	21.4703494697133
"MMP19__pos"	42.4539521932504	2.22044604925031e-16	41.3044056226095	2.22044604925031e-16	22.3031493430891
"SOD2__pos"	9.98537548917284	2.22044604925031e-16	1.0467790001844	1.0256163548973	75.9839591045933
"ACSL1__pos"	59.3688258920846	2.22044604925031e-16	2.22044604925031e-16	28.5284793510152	25.8923748089107
"TMEM51__pos"	2.22044604925031e-16	2.22044604925031e-16	74.713386538538	2.22044604925031e-16	2.22044604925031e-16
"NUDT16__pos"	3.08493886354026	23.5295286150658	4.62704557498283	67.1049813798765	2.22044604925031e-16
"CTSL__pos"	44.6157849668489	0.985698922161028	24.5113181673566	2.22044604925031e-16	42.6564998645852
"PMAIP1__pos"	6.05511354717588	4.9514818071067	5.99875834858388	9.8010578821825	75.4165936888501
"IL1RAP__pos"	66.9938853551476	2.22044604925031e-16	25.2972073507162	3.17392002995934	2.22044604925031e-16
"SH3BGRL3__pos"	12.4207961825551	29.0731548197425	41.5667756722032	3.0758338358737	2.22044604925031e-16
"RPL39__pos"	20.6975596153423	39.6979173002971	2.22044604925031e-16	26.3441310326913	2.22044604925031e-16
"TNIP3__pos"	13.2505476933727	2.22044604925031e-16	3.93941972062162	2.22044604925031e-16	69.3394631361828
"CCRL2__pos"	12.9319185835401	2.22044604925031e-16	11.8844859410794	8.39626361656749	74.2346105318031
"NLRP3__pos"	53.987455216092	2.22044604925031e-16	3.98382089269515	18.5407376941693	32.6887326223581
"LIMD2__pos"	3.88116219053016	45.0215241593977	2.22044604925031e-16	44.3699019998641	9.24336499522049
"FPR3__pos"	2.22044604925031e-16	2.22044604925031e-16	90.6594640749032	2.22044604925031e-16	2.22044604925031e-16
"FTH1__pos"	16.7341619586235	2.22044604925031e-16	48.8111743211593	2.22044604925031e-16	30.6870242974154
"CCL4L2__pos"	4.1200621906778e-07	2.22044604925031e-16	20.9221554784005	7.78700414911767	77.5693501232299
"CD300E__pos"	57.4423535434615	2.22044604925031e-16	18.471539210121	15.6559684444198	17.3191550163805
"ACTB__pos"	5.33274925775085	15.387536739822	69.8967716499019	2.22044604925031e-16	4.48270825374531
"RPL11__pos"	8.75149146091191	53.2344658323812	2.22044604925031e-16	12.1270119759907	0.230751724354264
"IL1RN__pos"	38.4274248544861	2.22044604925031e-16	19.4608874176035	4.94275234233837	43.1208952594359
"THAP2__pos"	20.3798478937951	2.22044604925031e-16	6.08264129457897	9.70011643145055	71.8071763151731
"THBS1__pos"	67.7318213098144	2.08711584310211	5.65635822493756	24.971231914914	13.7218044792072
"PFN1__pos"	7.27503216671283	20.1395038528554	61.1033933468487	2.22044604925031e-16	3.6949595494006
"RPS24__pos"	15.2587801021733	41.5491614968833	2.22044604925031e-16	24.6803102614679	2.22044604925031e-16
"CCL20__pos"	19.2487412560401	2.22044604925031e-16	3.31967480363766	2.22044604925031e-16	80.8007630209677
"PLEK__pos"	16.6785906323414	2.22044604925031e-16	2.22044604925031e-16	14.7123221419301	66.7966463351046
"AREG__pos"	54.2146935415377	8.08044678239313	4.99030562329444	23.2366532021934	20.177421675205
"GAPDH__pos"	15.9156966587394	25.9087339590705	41.5020442866482	2.22044604925031e-16	2.61107902834876
"CD37__pos"	9.53340025673156	33.1451702095298	2.22044604925031e-16	42.0457400695383	9.37106041654973
"IRAK2__pos"	7.94238878326369	2.22044604925031e-16	15.7649170305163	2.22044604925031e-16	70.5693956071933
"ARPC1B__pos"	1.64278190663126	12.2842405035412	4.25525159134278	29.4175046664916	58.4604152240494
"ITGAX__pos"	55.4718901847007	3.14537411034312	23.6227388195203	11.2756116766809	21.5925023416228
"RPS28__pos"	26.7206853990051	28.6142223027338	2.22044604925031e-16	34.3418956425362	2.22044604925031e-16
"GLUL__pos"	20.4390242052753	8.21075759603241	54.3819866867124	10.6238046562098	0.896815562937976
"INHBA__pos"	2.22044604925031e-16	2.22044604925031e-16	2.13203046298009	2.22044604925031e-16	74.7081611566794
"STX11__pos"	5.09413270999754	10.5854485296556	3.62150632535953	27.2303243732139	61.2731160407448
"VCAN__pos"	42.5906698348733	0.761542228238848	17.6716379266791	41.5263750278223	2.22044604925031e-16
"PYCARD__pos"	1.46756225140809	34.315238510522	9.50959399193786	43.7806329593203	1.9582145348716
"TGFBI__pos"	11.2672630512649	5.55241016076219	72.4073891186305	17.4964257702492	9.04904621094484
"G0S2__pos"	34.2654603168002	2.22044604925031e-16	22.0737633005191	2.81807434188396e-13	55.5239942969005
