"IS01"	"IS02"	"IS03"	"IS04"
"PSMA2__pos"	2.22044604925031e-16	2.22044604925031e-16	149.280853871655	2.22044604925031e-16
"EEF1A1__pos"	4.26036381126234e-06	125.380032985701	2.22044604925031e-16	6.49231446312524
"FOXP3__pos"	2.22044604925031e-16	2.22044604925031e-16	6.72125165024645	163.86722102241
"RPL41__pos"	92.1904758021366	32.7381370617699	17.4827097381564	2.22044604925031e-16
"NDUFB8__pos"	2.22044604925031e-16	2.22044604925031e-16	156.921505052808	7.51709205132833
"CCR7__pos"	2.22044604925031e-16	139.303311595513	10.3605577918566	8.74314508584505
"CCR8__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	111.172249601563
"ACTG1__pos"	57.2673375642126	4.53400506749614	11.1524467380056	54.2427825941421
"RPS10__pos"	1.33294825465286	50.6878167045098	134.0080332914	1.17727552669894
"RPS27A__pos"	2.32269292089041	111.008970454276	8.00397711970631	2.22044604925031e-16
"BATF__pos"	1.09079821847308e-08	9.75067844696906	25.8506867942132	128.778434071221
"RPS26__pos"	67.1595279287635	28.0670535438288	1.52320238268993	33.7709688174186
"RPS17__pos"	2.22044604925031e-16	49.9000186325129	131.871538572753	3.18405234382088
"RPS12__pos"	15.8785383926967	105.927804045119	2.22044604925031e-16	2.22044604925031e-16
"CTSC__pos"	20.5886029350587	3.27336201967595	35.411468077036	114.020826964897
"GAPDH__pos"	58.298599447884	2.22044604925031e-16	17.1987040700998	58.8000379059706
"NDUFA13__pos"	14.1158523079387	17.860202546396	126.57480626571	25.8426405567151
"RPS3A__pos"	12.0563139197294	103.954797343866	0.626870383839795	2.22044604925031e-16
"TNFRSF18__pos"	9.95634411179386	2.22044604925031e-16	45.3893607142001	120.389249403367
"CDCA7__pos"	72.5774254652923	2.22044604925031e-16	8.4239810614673	27.9484259449056
"ARPC1B__pos"	2.22044604925031e-16	33.3032573037018	111.440152399441	39.264437524472
"RPL10__pos"	9.98509932916132	110.370783321801	3.09366376312109	2.22044604925031e-16
"GBP5__pos"	5.57221353686846	17.9019976721244	7.89990624743403	139.694925706053
"BIRC5__pos"	75.8516898647649	2.22044604925031e-16	2.22044604925031e-16	13.6268489148724
"PMF1__pos"	2.22044604925031e-16	2.22044604925031e-16	136.104832442647	2.22044604925031e-16
"RPL32__pos"	15.3283976625216	107.01232427999	2.22044604925031e-16	2.22044604925031e-16
"IL1R2__pos"	2.05411561528737	2.22044604925031e-16	15.2116256858271	131.750268276313
"CCNA2__pos"	62.44375479887	2.22044604925031e-16	2.22044604925031e-16	14.6770446436955
"RPL27A__pos"	6.14138073556458	43.5425216913326	104.61658068738	1.02174475485213
"RPL13__pos"	8.90123980882995	110.667175296161	2.80421245200543	2.22044604925031e-16
"TNFRSF4__pos"	1.24075204284641	12.4845946515924	29.704763085704	125.636020617063
"RPS19__pos"	50.2361922172037	50.7833920243659	31.4080467543268	2.22044604925031e-16
"RPS20__pos"	2.65330163410986	57.7407513933217	102.560190234077	6.11980879513831
"RPS14__pos"	0.418743427106701	93.7463401969239	20.9151236713931	2.22044604925031e-16
"IL2RA__pos"	2.22044604925031e-16	1.43323440411649	33.5012900363914	135.96111832295
"TMSB10__pos"	53.4832273098591	0.891445914417772	22.5290150178681	54.7987257237139
"RPL13A__pos"	2.22044604925031e-16	54.4656957799395	94.4537151734807	0.850609914563401
"RPL30__pos"	26.438508575707	97.8919294458216	2.22044604925031e-16	2.22044604925031e-16
"CTLA4__pos"	8.07643710947109	4.16624690785853	23.389249432638	139.456001260923
"PLK1__pos"	59.2066927008407	2.22044604925031e-16	2.22044604925031e-16	9.48773612728105
"RPS29__pos"	2.22044604925031e-16	47.5285691334852	95.9313842842188	0.489341223969846
"RPL34__pos"	0.0342305954666141	92.9737206727777	30.6159741765675	2.22044604925031e-16
"CD27__pos"	14.2383080383982	17.6076410568464	17.5799234895217	123.236237322841
"CXCL13__pos"	74.0892512168389	4.81875793250382	26.9760797374716	21.7953910502584
"RPS2__pos"	3.31417360473424e-11	48.0999561802425	93.2229042795092	0.77862261388695
"RPL19__pos"	33.4761427679598	94.4873599444517	2.22044604925031e-16	2.22044604925031e-16
"CARD16__pos"	6.54864210567216	10.2866488910925	38.839417894508	120.825155554144
"SNRPD2__pos"	58.0142971684246	42.7138219175536	19.8056048861797	22.2843120114638
"ARL6IP1__pos"	7.21799538138653	23.0418523596036	108.439504676971	35.726810852076
"RPLP1__pos"	29.3470818964612	100.613343071584	0.0920029055250186	2.22044604925031e-16
"TIGIT__pos"	4.23564874218997	14.4600261272304	32.5937185634681	122.703033477537
"UQCR10__pos"	64.0784200125323	24.4153038098761	29.391925976858	47.8740328240942
"NDUFA9__pos"	2.22044604925031e-16	2.22044604925031e-16	125.822035010548	7.44297419291353e-13
"RPL11__pos"	31.1021025259464	95.8512553887433	2.22044604925031e-16	2.22044604925031e-16
"CST7__pos"	21.3634109322664	12.3870462127801	32.0599217838871	111.871403025269
"SRP9__pos"	73.9869370985954	26.350779653873	31.0819898852233	51.6111432896805
"RPL7__pos"	7.24696389006165	47.1447396818453	82.2955505704228	0.548433136399352
"S1PR1__pos"	2.22044604925031e-16	113.621429730343	2.22044604925031e-16	2.22044604925031e-16
"DNPH1__pos"	37.6667927691178	5.48160217325723	32.6699260920034	98.6930555171869
"HINT1__pos"	52.1637191613693	27.7617645873267	16.5289191885189	26.4114817329268
"SAMSN1__pos"	1.25795138995869	35.2733422070646	88.4528048999693	56.2557545620359
"RPL37__pos"	6.12789661455765	90.4864606582315	9.88618217407406	2.14996373031151
