"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"EEF1A1"	"EEF1A1"	-0.485353799267214	1.27582422516019	-0.736426229112235	-0.312609154687396	"S01"	1.27582422516019	"IS02"
"RPS27A"	"RPS27A"	-0.5129000179542	1.140828263669	-0.185239092871522	-0.650769293538726	"S01"	1.140828263669	"IS02"
"RPS12"	"RPS12"	0.0500553244048352	1.12780460639796	-1.05464114858458	-0.384328870303788	"S01"	1.12780460639796	"IS02"
"CCR7"	"CCR7"	-0.610650329405973	1.11575200803805	-0.231015708278893	-0.476375596680672	"S01"	1.11575200803805	"IS02"
"RPL30"	"RPL30"	0.199805059672053	1.06988326528292	-1.34519383766088	-0.191991603588109	"S01"	1.06988326528292	"IS02"
"RPS3A"	"RPS3A"	-0.243440200589062	1.06455602189464	-0.530005887455561	-0.508197608284478	"S01"	1.06455602189464	"IS02"
"RPL32"	"RPL32"	-0.138588008081512	1.06070447567833	-0.590700384108079	-0.553689468942748	"S01"	1.06070447567833	"IS02"
"RPL10"	"RPL10"	-0.259064243713957	1.06060435617525	-0.301045698300152	-0.706347929132321	"S01"	1.06060435617525	"IS02"
"RPL13"	"RPL13"	-0.2594145671614	1.03807831422814	-0.304143472943094	-0.676234049555124	"S01"	1.03807831422814	"IS02"
"RPL19"	"RPL19"	0.133596649889777	1.00041752078005	-0.94361198252564	-0.425149629674142	"S01"	1.00041752078005	"IS02"
"RPL11"	"RPL11"	0.0714792535608128	0.959230835209384	-0.80411816385032	-0.445516800634091	"S01"	0.959230835209384	"IS02"
"RPS14"	"RPS14"	-0.745411129142325	0.958881326120679	0.24205749329291	-0.603265731153777	"S01"	0.958881326120679	"IS02"
"RPLP1"	"RPLP1"	0.0981865042185114	0.951447977063273	-0.722728189408529	-0.5416345955947	"S01"	0.951447977063273	"IS02"
"RPL18"	"RPL18"	-0.0692748110703618	0.926791589475861	-0.746939293378883	-0.316482823965779	"S01"	0.926791589475861	"IS02"
"S1PR1"	"S1PR1"	-0.350900382426791	0.916194275348996	-0.392759167974582	-0.35219848468875	"S01"	0.916194275348996	"IS02"
"RPS15A"	"RPS15A"	-0.177736865106748	0.910026141235498	-0.278020075249402	-0.63314464425466	"S01"	0.910026141235498	"IS02"
"RPS3"	"RPS3"	-0.0428956998485315	0.909676810040004	-0.479116096133074	-0.579454653740058	"S01"	0.909676810040004	"IS02"
"RPL34"	"RPL34"	-0.640034262027085	0.906426011225945	0.404294532318944	-0.804689332611166	"S01"	0.906426011225945	"IS02"
"RPS28"	"RPS28"	-0.14433995559788	0.899959665413088	-0.293045423442758	-0.641240022558618	"S01"	0.899959665413088	"IS02"
"RPL39"	"RPL39"	-0.112868906609716	0.883691371894157	-0.213838070898608	-0.730090904626847	"S01"	0.883691371894157	"IS02"
"RPL37"	"RPL37"	-0.53767298864122	0.879268498408363	-0.152929699777408	-0.345051014845675	"S01"	0.879268498408363	"IS02"
"RPL35A"	"RPL35A"	-0.415454112566433	0.845684970384244	-0.0419829150534272	-0.537234909006134	"S01"	0.845684970384244	"IS02"
"RPS25"	"RPS25"	-0.292948162914564	0.843894603786111	-0.223540662510221	-0.487796841020225	"S01"	0.843894603786111	"IS02"
"PABPC1"	"PABPC1"	-0.477144801924338	0.83041022766051	-0.230350638577941	-0.275316772225819	"S01"	0.83041022766051	"IS02"
"SARAF"	"SARAF"	-0.824809314394075	0.829344128660863	-0.240082436307953	0.0937450177545668	"S01"	0.829344128660863	"IS02"
"RPS21"	"RPS21"	0.0167356806157021	0.81303202976313	-0.61475772532009	-0.396285377533243	"S01"	0.81303202976313	"IS02"
"RPL29"	"RPL29"	0.144156651986559	0.800631883142279	-1.00142739697228	-0.143143408159906	"S01"	0.800631883142279	"IS02"
"PDCD4"	"PDCD4"	-0.656181123002893	0.793562792811671	-0.161594747373842	-0.112637583161329	"S01"	0.793562792811671	"IS02"
"CXCR4"	"CXCR4"	-0.664494925608212	0.792170251648643	0.259029821234545	-0.504662778826956	"S01"	0.792170251648643	"IS02"
"RPL22"	"RPL22"	-0.135712272152673	0.79159652266198	-0.705901519220838	-0.126435482069873	"S01"	0.79159652266198	"IS02"
"RPL9"	"RPL9"	-0.599134509401696	0.788853465921199	0.165028542748172	-0.478217374906595	"S01"	0.788853465921199	"IS02"
"TCF7"	"TCF7"	-0.31784028956133	0.785359988234203	-0.167856046303836	-0.445767363136028	"S01"	0.785359988234203	"IS02"
"RPL14"	"RPL14"	-0.0583893984222048	0.779550808428246	-0.654536180850936	-0.240961409987009	"S01"	0.779550808428246	"IS02"
"RPL18A"	"RPL18A"	0.0633557033801787	0.77468835471684	-0.391268216626662	-0.612483298774762	"S01"	0.77468835471684	"IS02"
"RPL12"	"RPL12"	-0.384430822386153	0.759023747688616	-0.1401863399066	-0.372243515585591	"S01"	0.759023747688616	"IS02"
"RPL28"	"RPL28"	0.158507996139289	0.752702244568938	-1.01076766887539	-0.0920065529326864	"S01"	0.752702244568938	"IS02"
"RPL5"	"RPL5"	0.0162479980993429	0.740403040350116	-0.739855166258883	-0.189771165311494	"S01"	0.740403040350116	"IS02"
"RPS27"	"RPS27"	-0.547044039199321	0.724551056595617	0.626133808290721	-0.896421349968914	"S01"	0.724551056595617	"IS02"
"ABLIM1"	"ABLIM1"	-0.231204446362205	0.718395841121866	-0.381593877419674	-0.251056913252526	"S01"	0.718395841121866	"IS02"
"RPS4X"	"RPS4X"	-0.0239250282018673	0.715935415955637	-0.340937859232268	-0.500743028453453	"S01"	0.715935415955637	"IS02"
