"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"PLCE1"	"PLCE1"	1.41624650885572	-0.18289113575142	-0.258425540013639	-0.323588484520221	-0.215246743243461	-0.304172318076679	"S01"	1.41624650885572	"IS01"
"LMOD1"	"LMOD1"	1.41550785807956	-0.252322366966206	-0.255106167054262	-0.327005187694637	-0.250921331154827	-0.244365597663035	"S01"	1.41550785807956	"IS01"
"JAG1"	"JAG1"	1.40270547326047	-0.343881126729658	-0.276938274478861	-0.370394047657816	-0.273824747119173	-0.120267981353713	"S01"	1.40270547326047	"IS01"
"FOXS1"	"FOXS1"	1.39179834058104	-0.236594430320081	-0.332118379645247	-0.381451674976362	-0.315384622704401	-0.0868762556860891	"S01"	1.39179834058104	"IS01"
"TRPC6"	"TRPC6"	1.3844515060347	-0.202488141102292	-0.066349085934843	-0.298032078349206	-0.349144655140638	-0.336438105867007	"S01"	1.3844515060347	"IS01"
"AVPR1A"	"AVPR1A"	1.37171970964765	-0.211179514607698	-0.226657305830926	-0.283717320364039	-0.245892164373349	-0.295491902312922	"S01"	1.37171970964765	"IS01"
"MOCS1"	"MOCS1"	1.35369225736996	-0.252773322074146	-0.203898394069629	-0.226709885949105	-0.243842922379939	-0.331312603357693	"S01"	1.35369225736996	"IS01"
"EPAS1"	"EPAS1"	1.35310170784327	-0.35303984272231	-0.142303004148204	0.28563356537724	-0.641277392281822	-0.512180977532123	"S01"	1.35310170784327	"IS01"
"FAM162B"	"FAM162B"	1.3452179276289	-0.127124329177565	0.170410670693259	-0.39105224644231	-0.323370281322248	-0.444654223208948	"S01"	1.3452179276289	"IS01"
"PLN"	"PLN"	1.33678454269637	-0.125917472488485	-0.273745491156446	-0.274126766533793	-0.27331354560827	-0.268355432634707	"S01"	1.33678454269637	"IS01"
"ADIRF"	"ADIRF"	1.33353951969449	-0.341863726531438	0.721261636070284	-0.801311019657826	0.315319182195315	-0.791792751274287	"S01"	1.33353951969449	"IS01"
"CLMN"	"CLMN"	1.32864647167855	-0.092675086213615	-0.224694514388065	-0.284766705993151	-0.246743804867529	-0.321902782678471	"S01"	1.32864647167855	"IS01"
"ENPEP"	"ENPEP"	1.318231609206	-0.244542424724952	-0.306149343107706	-0.224302100912014	-0.303944593364464	-0.198509173310307	"S01"	1.318231609206	"IS01"
"KIAA0040"	"KIAA0040"	1.3143314767224	-0.196028264331559	-0.146216602957917	-0.302401643633954	-0.388831751542979	-0.201670316246018	"S01"	1.3143314767224	"IS01"
"LBH"	"LBH"	1.30143437444651	-0.213394479093276	-0.0583673534716896	-0.586060254723283	-0.131980317591599	-0.167808189045159	"S01"	1.30143437444651	"IS01"
"TBX2"	"TBX2"	1.29491104317079	-0.31627408111029	-0.0994398658728496	-0.264648634389445	-0.415468282592955	-0.1777942251441	"S01"	1.29491104317079	"IS01"
"PDGFA"	"PDGFA"	1.29321162225706	-0.081064276544635	-0.320107486914755	-0.346293433140427	-0.108434721195886	-0.275819841207131	"S01"	1.29321162225706	"IS01"
"MFGE8"	"MFGE8"	1.27390214147273	-0.587830988088612	-0.153977898287895	-0.122045683235412	-0.0418082044029054	-0.38175403351143	"S01"	1.27390214147273	"IS01"
"GPRC5C"	"GPRC5C"	1.26908083686536	-0.0358098345762423	-0.233679067854364	-0.23746682366856	-0.266177223940859	-0.329689234754282	"S01"	1.26908083686536	"IS01"
"KCNJ8"	"KCNJ8"	1.25037045404262	-0.238272417854275	-0.208701086663269	-0.260728871013044	-0.0301609207589128	-0.378769743881091	"S01"	1.25037045404262	"IS01"
"CRIP2"	"CRIP2"	1.24238454856131	-0.514587903487274	-0.308635854248509	-0.423004357014268	0.0404199505948146	-0.071275739688458	"S01"	1.24238454856131	"IS01"
"PTK2"	"PTK2"	1.23656231205702	-0.246510722007397	-0.305871168025509	-0.218817608014358	-0.345700585128415	-0.115027745002871	"S01"	1.23656231205702	"IS01"
"MAP3K7CL"	"MAP3K7CL"	1.2326611087767	-0.0192172856133938	-0.315091707941213	-0.254640914857491	-0.257694538613704	-0.244888211059036	"S01"	1.2326611087767	"IS01"
"ARHGAP29"	"ARHGAP29"	1.2309917460302	-0.291893063940014	0.352595366783359	-0.45351821496548	-0.0869214663820511	-0.518532341751634	"S01"	1.2309917460302	"IS01"
"MYL9"	"MYL9"	1.22568952031771	-1.00756913302324	-0.334184549729295	-0.0713769193428256	-0.424644478588899	0.203462432267697	"S01"	1.22568952031771	"IS01"
"EGFL6"	"EGFL6"	1.22035172311017	-0.377907509830156	-0.490046788322737	0.490400593887668	-0.583329805757472	-0.386532975901913	"S01"	1.22035172311017	"IS01"
"TAGLN"	"TAGLN"	1.2108465417945	-0.49309329861399	-0.563039987119939	-0.46901430645044	-0.559419644004182	0.578390651677865	"S01"	1.2108465417945	"IS01"
"RERGL"	"RERGL"	1.20860921498375	-0.175203009996289	-0.225528756315227	-0.24197256559298	-0.220602473602784	-0.252014694142976	"S01"	1.20860921498375	"IS01"
"LYPD1"	"LYPD1"	1.18638856575017	-0.13218327796244	-0.257308109671186	-0.241879401800089	-0.21056871954602	-0.241722395843322	"S01"	1.18638856575017	"IS01"
"MAP1B"	"MAP1B"	1.18415149109476	-0.51163137525748	-0.242774491598138	-0.594415274864625	0.0365423152633588	0.0806305173180451	"S01"	1.18415149109476	"IS01"
"FHL5"	"FHL5"	1.18264074395197	-0.187104730041273	-0.197579168758266	-0.240038082924791	-0.223372717009697	-0.247018887439753	"S01"	1.18264074395197	"IS01"
"PPP1R12A"	"PPP1R12A"	1.17502523348215	-0.211511070201588	-0.166689519373583	-0.205427891783732	-0.261900805734093	-0.255855890488366	"S01"	1.17502523348215	"IS01"
"SYNPO2"	"SYNPO2"	1.16487371126271	-0.00152149591680427	0.227682478243359	-0.522644501377237	0.0066328895539869	-0.526964290400567	"S01"	1.16487371126271	"IS01"
"HOPX"	"HOPX"	1.15684006714037	0.0387334646160897	-0.270295502589283	-0.393974209214606	-0.549754570269619	0.0792886002722404	"S01"	1.15684006714037	"IS01"
"PPP1R12B"	"PPP1R12B"	1.15395184942217	-0.0742270778381816	-0.0190863504344038	-0.405894564911637	-0.0963374494293752	-0.344753883184523	"S01"	1.15395184942217	"IS01"
"TMEM74B"	"TMEM74B"	1.15142689716337	-0.165240098718682	-0.219715040682995	-0.219025509047082	-0.213583612805155	-0.245518219853713	"S01"	1.15142689716337	"IS01"
"COL4A2"	"COL4A2"	1.14991538597496	-0.458912606565005	-0.424755181657196	0.189461815893194	-0.774369601346966	0.0626702088054581	"S01"	1.14991538597496	"IS01"
"IGFBP7"	"IGFBP7"	1.14711353417436	-0.908233080049616	0.214935401941876	-0.324210703655125	-0.0968828257698814	-0.172795663563426	"S01"	1.14711353417436	"IS01"
